position_0,position_1,position_2,density,radius
9.435418081959178263e-03,4.928524951043876130e-04,1.626809818017777433e-04,4.386058186623440633e+03,2.123195082483098642e-05
7.777128634300601098e-03,3.079956421190103424e-04,2.108121295233907652e-04,4.386070798340984766e+03,2.531256803173547308e-05
1.073287282893487307e-02,1.647297770724762698e-03,2.068325606643866361e-04,4.386058684480275588e+03,2.175154107003543746e-05
6.319261987885248927e-03,1.642313250633134318e-03,5.074408548697102381e-04,4.386060440374377322e+03,3.452941314985624640e-05
8.044054491303812005e-03,8.189845046949236341e-05,4.054010946035225020e-04,4.386040824442484336e+03,2.968758127850550186e-05
1.170419421236976523e-02,6.749741595853745162e-05,3.508177503724224677e-04,4.386041451601326116e+03,3.262499185502244211e-05
9.788328138848636367e-03,7.671667157085068980e-04,4.297811327483262852e-04,4.386062995248447805e+03,4.019593574494968323e-05
8.221666643909610397e-03,1.343452725625072803e-03,3.092924742821465621e-04,4.386041128141975605e+03,2.856490901424924174e-05
6.463063124344662833e-03,1.206359900005392642e-03,4.273705217563029805e-04,4.386052626100121415e+03,3.118202908007991101e-05
1.355835280718608107e-02,7.689757495329979263e-04,7.049813351853596432e-05,4.386038760025549891e+03,3.652422634797245399e-05
1.370401346323080194e-02,1.240635319836959349e-03,5.427074050528566188e-04,4.386065011761600545e+03,2.818103261363845752e-05
5.041894858012661677e-03,6.917225290249580383e-04,9.810100466233306177e-05,4.386029694817754716e+03,2.422939595975897361e-05
1.221012932038027105e-02,1.738414621156925350e-03,3.007102137096472950e-04,4.386065807985320134e+03,2.927735865027116487e-05
5.854837800183802787e-03,2.741870599785276876e-04,3.481816892933849356e-04,4.386054328335378159e+03,2.674998222319731897e-05
8.987283355135147409e-03,1.373587675738019475e-03,1.991151849729148947e-04,4.386035229995879490e+03,4.104574846064389657e-05
7.970659458510170534e-03,7.868040270241764866e-05,3.578112144199286780e-04,4.386051754612674813e+03,3.756302824075045607e-05
8.173264153391663484e-03,1.810579866065319165e-03,3.752933739228580222e-04,4.386040438364433612e+03,3.448289735438055342e-05
7.935059438214516273e-03,5.456577689756024431e-04,5.114912584942549580e-04,4.386042388360760924e+03,3.908325197884021679e-05
4.196461247161258762e-03,6.667958178519030376e-04,5.328678011850725149e-04,4.386043664698797329e+03,3.746914391007166105e-05
1.043380778078837647e-02,1.063650165516845641e-03,1.383215693312042844e-04,4.386024698809455913e+03,2.732316321376119700e-05
1.218227057938233403e-02,4.318855979887502761e-04,1.689415360644462582e-04,4.386086015526104347e+03,3.970148473678316816e-05
5.910117580555493758e-03,3.389120862329118400e-04,5.420012049584624911e-04,4.386019314075429065e+03,3.307463713753593597e-05
9.922348937451658940e-03,1.265323084918689757e-03,5.384767208082117014e-04,4.386056968112994582e+03,3.754858705540941178e-05
6.292617614586409891e-03,5.117705403473971038e-05,3.514564468852760079e-04,4.386044538600253873e+03,3.981316876508320015e-05
