position_0,position_1,position_2,density,radius
1.469696933718683688e-03,2.438275742451118111e-03,4.040741744295040785e-04,4.386054469284770676e+03,3.454719315644224980e-05
1.382357086696506168e-03,4.628500073295097224e-04,7.581760402404811401e-05,4.386067167232968131e+03,3.953730291496649111e-05
2.350035376397725372e-03,2.081295568551686133e-03,4.297739662593191867e-04,4.386021956487910757e+03,3.209449719011041340e-05
2.038442335875800381e-03,1.693763861676522058e-03,2.440832870268651940e-04,4.386060391519495170e+03,2.566399396364455699e-05
1.396690663726182649e-04,1.353994248640616634e-03,5.515541269875963264e-04,4.386043205003837102e+03,3.577366104012895094e-05
3.466861885679032619e-03,1.330009170640136839e-03,3.462468234666888581e-04,4.386049104968518805e+03,3.662161800081193639e-05
3.365989574022796964e-03,1.769019880669220422e-03,4.297233688307605621e-05,4.386074314761827736e+03,3.339709976753672631e-05
3.293701890650629753e-04,2.040805680384293313e-03,5.470993038620310242e-04,4.386042779559848896e+03,3.681446778269478542e-05
2.760314511628861496e-03,3.114775667514764783e-04,1.337518556161243250e-04,4.386048553973816524e+03,3.240952052053077900e-05
3.067476583303968898e-03,3.343338957528280142e-03,3.628885295852972859e-04,4.386013829790468662e+03,3.283168061559616120e-05
2.568612065997028654e-03,1.430056030596856616e-04,4.764618026392462087e-04,4.386026884146251177e+03,3.143751984363867322e-05
3.140859542595516012e-03,1.046372884355208912e-03,4.163448042661147767e-04,4.386039238668560756e+03,2.123195082483098642e-05
8.738539500475987071e-04,1.845914923470928727e-04,1.358119287499878639e-04,4.386018436958526763e+03,2.531256803173547308e-05
7.284961413892025641e-04,1.358050449164824010e-03,2.546173965282149993e-04,4.386055575962488547e+03,2.175154107003543746e-05
2.033565880166099057e-03,1.908620852106724351e-03,1.782417061319298008e-04,4.386046915925004214e+03,3.452941314985624640e-05
1.446382423863209685e-04,2.414166063043266062e-03,2.436370655836347671e-04,4.386052010806080943e+03,2.968758127850550186e-05
1.207825268001039374e-03,3.443821274254810823e-03,4.319459878645032919e-04,4.386034457460791600e+03,3.262499185502244211e-05
3.402300751501497345e-03,1.980334521372557801e-03,1.082288786260286577e-04,4.386041090950842772e+03,4.019593574494968323e-05
2.773675649546190891e-03,8.410870712146945342e-04,2.680953397652949331e-04,4.386057028524402085e+03,2.856490901424924174e-05
2.871314718931691659e-04,3.280946057563234423e-03,9.889224424556611554e-05,4.386079995107969808e+03,3.118202908007991101e-05
3.582944379021694905e-03,3.430315927126510300e-03,2.813368329200284447e-04,4.386022845912655612e+03,3.652422634797245399e-05
2.963699720545508003e-03,2.471048124230997012e-03,4.647634162804081294e-04,4.386070382910689659e+03,2.818103261363845752e-05
1.730525045574636631e-03,3.129384003110571074e-03,2.792933875289251391e-04,4.386053223184159833e+03,2.422939595975897361e-05
3.738042524324829662e-03,1.946286381084174179e-03,2.797603811246466448e-04,4.386052674602534353e+03,2.927735865027116487e-05
3.125036111795735302e-03,3.269106371967393440e-03,3.297783029138042551e-04,4.386050011604988867e+03,2.674998222319731897e-05
7.454771307879601381e-04,1.873679698914400586e-03,5.424187293142576638e-04,4.386025472367496150e+03,4.104574846064389657e-05
2.992938917129438041e-03,3.221273996162573629e-03,5.479227725396685516e-05,4.386027754676642871e+03,3.756302824075045607e-05
1.873654448238441361e-03,2.576372691626428822e-03,4.752586438705694869e-04,4.386054250048053291e+03,3.448289735438055342e-05
